time,node_id,residual_energy
1310,42,9335.18
1310,43,9381.41
1310,44,9330.49
1310,45,9515.56
1310,46,9522.61
1310,47,9467.23
1310,48,9464.3
1310,49,9416.67
1310,50,9341.03
1310,51,9396.6
1310,52,9351.3
1310,53,9380.72
1310,54,9456.64
1310,55,9327.46
1310,56,9429.72
1310,57,9360.67
1310,58,9427.01
1310,59,9411.53
1310,60,9442.02
1310,61,9325.26
1310,62,9427.07
1310,63,9447.88
1310,64,9318.68
1310,65,9358.57
1310,66,9484.62
1310,67,9360.77
1310,68,9559.96
1310,69,9425.32
1310,70,9319.19
1310,71,9453.58
1310,72,9380.8
1310,73,9348.92
1310,74,9580.64
1310,75,9395.11
1310,76,9505.48
1310,77,9297.63
1310,78,9363.63
1310,79,9404.58
1310,80,9419.05
1310,81,9381.95
1310,82,9432.13
1310,83,9495.79
1310,84,9396.48
1310,85,9429.72
1310,86,9375.97
1310,87,9521.45
1310,88,9392.67
1310,89,9326.34
1310,90,9375.25
1310,91,9377.85
1310,92,9348.3
1310,93,9349.87
1310,94,9543.53
1310,95,9336.38
1310,96,9336.43
1310,97,9417.47
1310,98,9458.16
1310,99,9377.47
1320,0,9551.59
1320,1,9439.01
1320,2,9438.45
1320,3,9447.11
1320,4,9389.64
1320,5,9269.13
1320,6,9375.89
1320,7,9333.32
1320,8,9387.28
1320,9,9351.53
1320,10,9338.06
1320,11,9394.66
1320,12,9294.26
1320,13,9435.19
1320,14,9433.86
1320,15,9493.17
1320,16,9474.06
1320,17,9353.21
1320,18,9400.17
1320,19,9367.03
1320,20,9423.33
1320,21,9378.96
1320,22,9388.64
1320,23,9457.82
1320,24,9432.74
1320,25,9390.63
1320,26,9450.56
1320,27,9450.86
1320,28,9566.67
1320,29,9484.37
1320,30,9482.58
1320,31,9442.51
1320,32,9412.82
1320,33,9475.59
1320,34,9424.22
1320,35,9377.98
1320,36,9394.89
1320,37,9434.49
1320,38,9395.22
1320,39,9341.49
1320,40,9419.02
1320,41,9367.61
1320,42,9325.67
1320,43,9369.76
1320,44,9318.53
1320,45,9507.67
1320,46,9514.2
1320,47,9458.84
1320,48,9454.58
1320,49,9406.22
1320,50,9330.4
1320,51,9386.7
1320,52,9336.23
1320,53,9371.83
1320,54,9444.25
1320,55,9316.81
1320,56,9420.78
1320,57,9352.96
1320,58,9419.12
1320,59,9402.78
1320,60,9432.42
1320,61,9312.74
1320,62,9418.48
1320,63,9437.31
1320,64,9304.71
1320,65,9345.5
1320,66,9475.92
1320,67,9350.62
1320,68,9553.07
1320,69,9418.84
1320,70,9306.61
1320,71,9444.71
1320,72,9371.71
1320,73,9338.34
1320,74,9573.76
1320,75,9385.35
1320,76,9497.98
1320,77,9288.05
1320,78,9351.76
1320,79,9395.83
1320,80,9409.3
1320,81,9369.5
1320,82,9422.86
1320,83,9488.56
1320,84,9386.75
1320,85,9417.77
1320,86,9365.67
1320,87,9511.81
1320,88,9385.18
1320,89,9314.18
1320,90,9365.51
1320,91,9368.09
1320,92,9338.45
1320,93,9335.3
1320,94,9536.71
1320,95,9323.83
1320,96,9325.08
1320,97,9408.47
1320,98,9449.22
1320,99,9365.3
1330,0,9551.29
1330,1,9438.71
1330,2,9438.15
1330,3,9446.81
1330,4,9389.34
1330,5,9268.83
1330,6,9375.59
1330,7,9333.02
1330,8,9386.98
1330,9,9351.23
1330,10,9337.76
1330,11,9394.36
1330,12,9293.96
1330,13,9434.89
1330,14,9433.56
1330,15,9492.87
1330,16,9473.76
1330,17,9352.91
1330,18,9399.87
1330,19,9366.73
1330,20,9423.03
1330,21,9378.66
1330,22,9388.34
1330,23,9457.52
1330,24,9432.44
1330,25,9390.33
1330,26,9450.26
1330,27,9450.56
1330,28,9566.37
1330,29,9484.07
1330,30,9482.28
1330,31,9442.21
1330,32,9412.52
1330,33,9475.29
1330,34,9423.92
1330,35,9377.68
1330,36,9394.59
1330,37,9434.19
1330,38,9394.92
1330,39,9341.19
1330,40,9418.72
1330,41,9367.31
1330,42,9325.37
1330,43,9369.46
1330,44,9318.23
1330,45,9507.37
1330,46,9513.9
1330,47,9458.54
1330,48,9454.28
1330,49,9405.92
1330,50,9330.1
1330,51,9386.4
1330,52,9335.93
1330,53,9371.53
1330,54,9443.95
1330,55,9316.51
1330,56,9420.48
1330,57,9352.66
1330,58,9418.82
1330,59,9402.48
1330,60,9432.12
1330,61,9312.44
1330,62,9418.18
1330,63,9437.01
1330,64,9304.41
1330,65,9345.2
1330,66,9475.62
1330,67,9350.32
1330,68,9552.77
1330,69,9418.54
1330,70,9306.31
1330,71,9444.41
1330,72,9371.41
1330,73,9338.04
1330,74,9573.46
1330,75,9385.05
1330,76,9497.68
1330,77,9287.75
1330,78,9351.46
1330,79,9395.53
1330,80,9409
1330,81,9369.2
1330,82,9422.56
1330,83,9488.26
1330,84,9386.45
1330,85,9417.47
1330,86,9365.37
1330,87,9511.51
1330,88,9384.88
1330,89,9313.88
1330,90,9365.21
1330,91,9367.79
1330,92,9338.15
1330,93,9335
1330,94,9536.41
1330,95,9323.53
1330,96,9324.78
1330,97,9408.17
1330,98,9448.92
1330,99,9365
1340,0,9550.99
1340,1,9438.41
1340,2,9437.85
1340,3,9446.51
1340,4,9389.04
1340,5,9268.53
1340,6,9375.29
1340,7,9332.72
1340,8,9386.68
1340,9,9350.93
1340,10,9337.46
1340,11,9394.06
1340,12,9293.66
1340,13,9434.59
1340,14,9433.26
1340,15,9492.57
1340,16,9473.46
1340,17,9352.61
1340,18,9399.57
1340,19,9366.43
1340,20,9422.73
1340,21,9378.36
1340,22,9388.04
1340,23,9457.22
1340,24,9432.14
1340,25,9390.03
1340,26,9449.96
1340,27,9450.26
1340,28,9566.07
1340,29,9483.77
1340,30,9481.98
1340,31,9441.91
1340,32,9412.22
1340,33,9474.99
1340,34,9423.62
1340,35,9377.38
1340,36,9394.29
1340,37,9433.89
1340,38,9394.62
1340,39,9340.89
1340,40,9418.42
1340,41,9367.01
1340,42,9325.07
1340,43,9369.16
1340,44,9317.93
1340,45,9507.07
1340,46,9513.6
1340,47,9458.24
1340,48,9453.98
1340,49,9405.62
1340,50,9329.8
1340,51,9386.1
1340,52,9335.63
1340,53,9371.23
1340,54,9443.65
1340,55,9316.21
1340,56,9420.18
1340,57,9352.36
1340,58,9418.52
1340,59,9402.18
1340,60,9431.82
